householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t29,pctWWage,pctWSocSec,pctWPubAsst,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,PctPopUnderPov,PctNotHSGrad,PctUnemployed,MalePctNevMarr,TotalPctDiv,PctKidsBornNeverMar,PctImmigRec5,PctPersDenseHous,MedRentPctHousInc,PctSameCity85,PopDens,ViolentCrimesPerPop,nonViolPerPop
2.91,2,40.85,38.14,36.08,30.72,79.08,21.03,11.58,13436,16318,15499,11775,11253,11370,11735,14.75,27.91,6.05,38.82,10.17,4.63,28.82,21.45,28.4,79.52,10393.2,544.59,4062
3.11,0.89,78.96,0.32,72.59,27.12,70.46,29.27,15.26,8515,9117,4721,6209,31527,5664,6177,28.5,41.74,9.97,26.33,10.33,1.73,4,11.21,24.8,88.59,1631.1,674.67,6809.31
3.11,3.25,93.18,1.17,4.37,28.12,96.76,7.71,1.82,16040,16379,13700,9405,12798,5810,9885,3.09,6.27,3.09,20.13,8.1,0.55,20.43,3.38,24.4,57.58,930.3,?,2480.23
2.58,0.46,97.98,0.75,3.17,21.22,72.42,38.5,3.5,17013,17076,6832,16892,18061,12039,13906,3.26,21.26,5.48,25.43,8.05,0.56,1.85,1.18,25.1,95.35,4282.6,?,3432.7
2.62,12.06,86.84,0.53,0.7,28.82,66.58,35.92,12.68,9873,10455,6050,8537,5780,498,7333,19.29,28.3,11.58,31.65,12.58,3.85,19.85,1.3,27.5,85.04,2733.9,1013.71,9245.39
2.41,0.24,98.74,0.54,0.47,23.23,62.83,40,10.47,11451,11522,0,6549,4101,0,8412,13.45,25.5,9.29,26.79,10.56,1.42,0,1,27.9,82.88,1289.1,?,5340.15
2.47,2.55,95.22,1.36,1.85,27.67,89.31,14.97,1.94,20519,20840,14018,14594,19440,10159,13921,3.73,7.51,2.63,24.84,12.84,1.15,38.49,1.01,22.8,47.97,659.9,60.9,2243.88
2.51,1.53,97.96,0.27,0.37,24.78,66.54,39.2,11.6,10398,10443,8079,4881,10704,7473,5371,18.03,26.66,8.18,29.25,10.62,3.16,7.33,1.07,28.6,91.56,5131,309.78,2708.2
2.77,12.19,76.65,1.68,11.83,31.27,75.68,24.74,9.94,10378,11426,7010,8859,14071,4936,5537,18.29,24.61,7.72,24.77,11.06,2.87,23.46,4.7,23.7,62.24,1622,307.5,5699.9
2.76,1.83,84.86,0.5,21.76,30.41,84.51,19.97,3.88,12559,13683,7770,13895,5923,5680,6803,14.01,26.19,4.56,26.32,13.03,1.65,22.34,7.55,23.4,74.52,1013.5,350.93,5660.38
3.83,0.05,97.69,0.77,2.4,30.7,80.03,24.26,5.68,8620,8666,0,8758,6969,6002,5354,8.08,16.35,6.09,28.84,5.85,0.29,13.98,6.47,24.4,85.85,2469.5,188.13,3794.88
2.84,52.91,46.31,0.39,0.48,30.69,69.15,31.11,19.29,9257,13779,5142,1195,31779,9164,6202,31.51,37.86,10.62,37.79,13.56,13.87,38.24,7.25,27.4,80.12,1651.9,607.8,5183.18
3.02,2.45,89.88,6.89,1.56,54.33,86.41,13.62,3.03,11347,11843,6287,11694,7422,2618,5349,24.12,4.86,4.29,61.49,4.76,1.51,69.81,3.17,30,44.45,2318.1,91.93,?
2.74,0.21,98.37,0.7,2.33,23.31,77.29,28.09,3.99,15242,15253,3792,0,22253,8967,10506,4.52,20.82,4.96,23.59,7.56,0.53,1.68,0.64,20.3,90.94,1417.6,125.57,3264.87
2.36,1.46,93.15,0.56,11.61,23.13,65,43.79,7.08,11991,12228,15778,0,15243,6326,7427,13.5,31.33,8.97,29.7,10.7,3.28,18.96,1.79,24.7,85.56,3353.7,49.93,?
2.45,0.54,95.58,1.34,2.03,19.07,63.31,39.73,6.91,14373,14650,2421,10362,4964,8879,9637,11.56,18.63,8.03,18.83,11.68,1.02,10.74,2.68,26.6,72.65,1016.2,68.8,3730.32
3.04,2.54,71.44,9.39,31.44,31.95,86.33,18.04,6.57,15746,17677,15433,17389,15044,7296,8240,10.64,24.59,5.56,35.46,12.4,3.79,36.72,15.8,29.3,74.6,5807.6,?,5913.55
2.49,34.26,65.09,0.31,0.53,26.78,70.39,39.05,8.88,10866,13314,6284,6917,7901,7331,7658,19.89,37.36,7.46,33.31,12.75,7.89,19.78,3.97,24.6,83.54,2042.4,1849.3,6474.24
2.45,14.2,84.87,0.4,0.63,27.93,71.6,32.58,8.81,12161,12599,9820,6634,8802,7428,6187,17.98,28.67,8.19,28.34,14.94,4.66,22.82,1.9,26.3,85.55,1515.3,439.73,4909.26
3.43,0.32,97.84,0.93,1.01,28.64,95.51,5.52,2.48,15464,15659,5573,15673,5554,1040,6713,3.64,9.45,5.2,24.29,5.5,1.33,5.36,1.72,27.9,77.01,430.2,?,2907.96
2.98,2.4,73.97,1.13,34.19,28.02,79.72,25.15,6.13,10317,11713,10836,11743,7611,5601,5648,16.11,38.5,7.12,21.39,9.23,1.15,11.42,9.67,21,82.94,2163.3,173.77,2999.82
2.88,10.44,77.79,1.03,17.68,27.74,84.93,19.35,4.94,13022,14243,8384,6594,14897,8398,8418,9.65,19.53,5.2,23.24,11.59,2.11,18.9,6.82,22.3,84.89,1703.8,546.28,4107.57
2.74,0.39,98.79,0.51,0.59,32.59,91,12.07,2.49,14557,14602,5596,0,10112,11554,9238,5.63,6.14,2.07,27.53,8.41,0.89,15.93,1.85,22.8,71.77,1356.3,65.71,?
2.36,33.04,64.94,1.34,1.46,27.72,81.75,22.19,6.75,18358,23648,8523,22667,11771,6984,10856,12.12,19.83,5.37,37.71,15.58,9.73,20.49,3.16,27.1,78.1,5063.6,1428.53,6575.2
2.46,44.33,54.5,0.68,0.8,24.9,68.13,35.6,10.83,11371,15949,5775,15298,7816,27031,9195,24.4,32.98,11.53,27.5,14.4,6.83,16.04,2.87,24.9,80.92,1272.1,3540.57,12185.96
2.69,0.58,97.4,1.07,0.76,30.82,80.44,23.21,5.62,14148,14319,8639,5781,4521,0,6649,8.48,17.45,5.6,32.72,12.5,3.24,19.4,3.02,26.6,74.93,2510.4,?,5141.6
2.91,2.61,85.42,4.83,15.63,27.25,83.66,17.7,8.91,15153,15645,12255,12929,14270,10395,10867,9.12,17.42,6.63,25.82,13.12,3.42,19.24,4.93,30.4,76.27,3065.6,720.85,4624.86
2.35,0.38,96.39,0.35,5.62,19.4,60.02,45.6,6.29,9946,9905,5060,13216,11093,10249,7671,16.72,29.89,6.82,16.99,12.98,1.27,19.76,5.78,28.3,58.81,1063,389.09,4569.52
2.62,0.25,96.43,2.58,0.89,27.16,78.91,26.7,5.41,14921,15187,7997,10549,7045,4408,6359,7.09,15.51,3.85,28.82,8.91,0.97,20.14,1.58,23,77.06,3705.5,64.14,3807.28
3.1,0.91,96.66,1.92,1.01,26.78,95.21,7.31,2.3,18173,18377,16913,26248,8342,9073,8710,3.49,4.59,3.49,25.9,7.6,1.25,27.44,1.25,28.6,66.11,1925.8,?,3072.56
2.63,0.77,71.48,23.45,10.66,24.44,76.91,26.65,3.58,25441,28492,21896,7717,18474,13736,15675,5.23,11.12,3.63,28.65,9.73,0.89,33.32,6.06,28.7,82.72,4284.1,398.76,4482.6
2.5,1.22,91.62,2.69,4.74,45.34,77.96,20.43,8.81,10676,11021,6129,10306,4001,5309,6416,28.12,14.28,9.44,56.24,10.29,2.57,14.94,3.51,35.1,60.23,1816.1,399.28,7702.22
2.49,11.75,77.39,0.55,2.57,23.15,66.62,34.66,9.21,12331,14188,5396,6526,9703,6047,6129,22.03,28.02,7.81,21.47,14.58,3.69,19.69,2.87,25.1,82.31,457.6,724.52,9448.19
2.9,25.66,73.09,0.55,0.81,41.51,70.16,31.32,9.95,9106,10545,5227,738,7681,0,6909,28.09,27.6,5.68,45.85,8.25,5.94,42.62,2.58,27.9,62.43,1397.8,47.11,2911.52
2.83,0.14,99.16,0.29,0.91,28.34,84.66,21.61,2.87,12689,12721,6000,8977,19400,7032,9363,5.38,28.19,5.69,25.33,11.17,0.72,6.54,2.34,25.2,75.47,1615.9,399.86,3134.72
2.51,0.61,92.71,3.64,9.03,21.03,68.44,36.54,6.98,16583,16812,14671,13590,16472,8285,10363,8.35,16.06,5.14,22.03,11.26,1.88,15.19,3.86,31.7,73.89,2451.9,696.31,3461.87
2.71,1.46,79.22,0.23,38.91,24.37,66.4,34.95,9.45,10474,11703,5567,8130,2480,5716,6077,21.38,35.28,7.07,22.16,9.91,3.37,17.24,6.1,23.1,84.74,1244.1,292.57,4848.28
3.52,2.66,55.96,16.26,40.05,29.95,79.72,22.12,14.03,12724,15281,11803,11880,11560,7712,9966,9.28,43.5,6.62,37.15,9.25,4.1,22.9,22.23,27,84.1,9248.8,1640.6,4857.96
2.44,59.39,35.42,0.73,9.13,26.78,71.19,32.81,14.95,11267,16291,8629,8043,9820,7909,7371,23.33,31.25,11.82,45.09,17.13,21.31,31.4,9.95,31.9,82.93,11323.1,2052.79,7331.38
2.35,13.09,85.19,0.68,1.1,25.06,75.5,32.4,6.27,12533,13155,6971,59455,25079,1917,3161,12.84,34.52,3.91,24.83,13.66,4.44,26.24,2.16,23.6,81.81,1327.7,628.09,7404.06
2.28,19.81,79.09,0.61,0.87,23.63,68.93,36.99,7.92,13079,14315,8370,12315,8811,6869,9324,15.87,24.92,5.56,28.79,14.32,4.71,13.35,1.56,26.3,77.41,1701.7,697.28,7370.37
2.63,1.57,97.15,1,0.63,29.18,74.73,30.24,6.19,12029,11798,10484,16528,38234,5629,8746,12.13,23.68,6.47,28.56,10.96,0.78,37.82,1.17,24.7,79.63,2044,33.01,2268.33
2.37,0.5,95.98,2.09,2.35,30.06,72.63,25.86,4.78,12898,13278,3463,9021,4587,3832,5668,17.35,9.95,6.19,38.03,14.49,1.66,42.52,1.88,29.9,62.41,2464.2,144.9,5633.8
2.33,2.5,97,0.32,0.25,21.59,63.05,39.06,10.3,12711,12844,9616,8618,8633,0,2104,18.06,29.76,7.23,21.19,12.63,1.43,32.88,1.05,24.3,85.13,2121.2,514.54,3540.51
2.39,0.34,95.51,2.06,2.53,24.42,72.76,30.51,7.12,12320,12421,8926,6157,12188,3753,4009,16.46,18,6.09,27.19,14.98,1.79,7.31,3.15,23.7,70.32,1691.7,298.97,5111.39
2.73,1.12,94.03,1.13,8.52,24.41,76.74,23.2,7.91,14639,14826,8884,12189,14610,11370,11983,7.84,13.72,4.02,24.52,12.7,1.27,11,4.77,28.6,74.92,884.5,332.61,3646.37
2.49,9.42,89.8,0.51,0.5,26.9,69.25,30.66,11,10286,10546,7696,5513,9372,15000,5400,23.33,40.15,9.34,24.8,12.82,1.59,31.87,1.51,26.6,79.81,951.5,669.95,4632.6
3.67,4.63,88.93,5.84,1.19,69.67,81.38,13.46,5.54,7915,8150,5903,4535,6172,5025,4217,44.66,9.9,8.54,75.38,4.1,2.64,69.97,3.38,35.1,31.37,3029,239.75,2848.82
2.62,19.72,72.71,0.43,8.37,27.54,70.17,32.18,9.62,10766,12812,5815,14001,12831,3164,3188,21.95,34.91,9,26.53,13.71,2.57,51.32,6.88,25.6,71.11,768.4,1300.88,4699.12
2.54,17.99,80.98,0.67,0.46,26.18,72.72,29.37,8.64,12954,14323,6846,10871,8737,0,22321,14.4,33.7,6.03,25.14,10.3,2.74,17.49,2.6,22.1,79.66,544.4,556.88,?
2.41,51.31,35.45,3.97,15.3,26.47,68.54,35.52,14.85,12017,16360,9942,2566,12883,6423,6690,24.97,41.66,9.63,46.53,17.11,19.29,22.54,8.77,28.2,81.22,3230.5,3583.48,27010.77
3.1,9.26,73.2,6.79,18.51,30.15,82.4,16.76,13.51,10401,11189,11320,11575,6671,5908,6498,12.58,22.86,7.84,23.2,11.51,2.8,19.41,11.36,26.9,63.89,4169.5,711.12,5344.06
2.52,16.35,79.86,3.36,0.93,59.94,87.13,10.71,2.72,10278,11200,6122,4021,9171,4566,6309,39.91,11.9,6.77,66.11,4.92,8.48,52.28,3,35.1,41.99,1004.9,370.67,?
2.31,0.61,96.06,1.52,4.29,20.94,63.71,33.99,9.91,18111,18237,16238,18065,14231,3069,12052,8.21,15.03,4.14,22.81,14.89,1.95,0,2.49,31.5,69.78,1679.1,377.36,4293.5
2.55,0.48,98.46,0.67,0.54,25.93,75.79,28.72,8.12,13511,13604,12309,6737,7291,5415,15217,10.91,23.27,6.69,28.79,11.77,3.01,18.82,1.26,25.9,82.31,392.5,72.71,2993.76
2.62,6.81,91.94,0.52,2.15,26.05,69.26,36.19,10.03,10638,11278,3220,5981,8502,3973,2154,13.8,31.67,8.96,35.8,11.37,4.21,4.85,1.38,28.7,85.94,3596.7,191.96,3702.5
2.48,1.37,92.35,3.01,3.05,27.8,79.94,22.1,8.49,13866,14214,12190,8060,10138,9482,9185,10.79,18.02,4.92,29.73,17.29,2.98,17.45,4.24,24.5,72.72,1622,447.63,6226.4
2.65,9.61,86.15,2.41,2.9,40.65,88.5,14.25,6.11,15169,15515,13365,15229,12080,10028,11185,7.38,18.18,4.18,39.09,12.46,5.93,33.79,2.31,23.2,74.27,992.3,?,5224.08
2.41,0.32,98.31,0.84,0.54,25.44,72.99,29.33,9.07,13209,13239,11790,6727,13804,2000,4392,12.78,25.61,5.38,29.95,13.73,1.84,4.39,1.24,26.2,84.22,371.7,161.73,6135.65
2.95,11.86,74.07,1.32,22.96,30.92,84.28,19.87,5.63,13335,14977,8898,11838,14125,7665,7938,10.54,28.76,6.05,32.65,10.77,7.25,25.15,7.64,25.8,77.32,2870.1,?,5473.6
2.34,0.21,98.16,1.19,0.87,21.86,66.84,41.28,7.73,11811,11948,4940,1798,3528,3541,2932,10.27,24.27,4.37,24.08,8.73,0.92,32.76,1.17,27.2,84.53,2182.7,?,3748.06
3.29,4.62,58.93,1.26,51.15,30.79,79.07,15.52,16.57,8990,11497,4500,3863,7935,5541,5363,28.22,42.85,11.09,31.81,12.74,5.48,27.07,17.88,28.9,79.38,705.2,781.32,7265.84
3.27,3.84,66,6.63,53.45,35.99,84.65,18.64,12.24,11038,12123,11670,10314,11956,7546,8029,14.28,37.27,8.28,39.83,12.21,5.59,33.83,21.61,29,82.48,4433,658.05,4167.63
2.68,46.98,52.39,0.17,1.87,26.95,67.45,36.79,16.96,9291,12803,5345,14294,0,0,11264,28.83,40.25,6.76,31.42,14.15,7.52,62.72,4.71,27.1,81.5,670.3,985.78,7781.56
3.15,9.34,82.13,0.78,13.43,31.69,87.11,14.61,6.28,9710,10097,8051,4762,12239,7461,6840,13.67,35.63,5.17,25.5,15.55,2.38,25.34,9.98,26.7,86.59,2086,2008.28,5983.44
4.17,2.43,55.56,12.27,70.75,34.53,86.09,15.9,13.71,8858,8802,11167,8690,11064,7843,7634,15.69,49.5,8.45,39.35,9.66,7.15,28.33,37.49,30.8,87.39,10147.8,604.42,2998.85
2.78,1.6,96.47,1.75,0.98,24.74,88.84,18.82,1.51,19716,19671,25666,21021,18130,11000,16469,2.49,9.57,2.24,24.12,7.76,0.42,19.06,0.56,24.2,78.97,3337.8,78.56,1649.71
2.48,0.92,97.11,1,0.64,30.69,76.55,26.11,9.42,13418,13489,9798,13117,13173,7361,7971,14.98,16.49,5.78,35.59,14.05,2.94,15.45,1.29,26.5,74.15,929.6,224.8,4842.49
2.77,9.5,69.05,7.39,23.22,22.42,58.21,43.36,18.38,11194,13075,8946,6205,4232,7255,6681,16.86,36.72,10.81,25.01,12.51,3.86,28.31,12,30.2,68.15,1077,895.24,5965.46
2.49,5.26,94.08,0.29,0.33,25.31,67.14,35.91,12.39,10366,10712,4962,5873,18690,583,9710,16.93,31.19,8.67,26.78,12.63,4.37,4.77,1.45,26.6,91.71,3513.5,734.61,4672.83
2.81,10.46,67.07,3.44,31.32,30.61,80.49,19.12,12.8,11889,13045,11125,6339,11289,8579,8586,14.36,24.83,9.13,27.72,14.45,3.2,28.06,9.85,27.3,71.93,904.6,1047.46,8835.76
2.44,3.33,88.58,1.12,1.76,21.85,72.17,32.44,4.29,16411,17479,6764,8014,12610,8368,9200,11.06,17.59,4.6,19.23,10.32,1.49,23.48,1.4,24.7,77.74,1567.1,499.32,4597.29
2.5,2.45,93.6,0.45,5.62,26.49,67.91,33.89,15.24,10782,10973,7842,9825,3677,7228,7438,18.06,30,13.52,31.08,12.56,2.52,6.28,1.65,29.2,88.46,3613.2,?,4839
2.73,17.51,66.29,1.43,26.47,27.95,79.38,21.28,7.69,11934,14720,6633,13865,7062,5465,5958,22.2,29.38,7.84,25.56,12.21,3.26,13.82,9.19,23.5,77.88,2387,592.36,?
2.85,12.02,72.97,0.75,23.15,29.89,80.41,22.05,6.22,12963,14935,7787,7455,34110,6408,6763,16.08,28.77,7.87,26.81,12.82,2.74,19.2,9.25,22.9,80.82,1969.2,566.03,6086.67
2.81,15.02,79.03,0.72,14.12,26.41,75.17,29.38,6.96,13541,14604,9636,20999,9435,9470,9376,11.46,29.68,7.29,36.32,10.45,7.22,22.21,4.24,27.1,78.8,2699.3,651.61,2302.85
2.88,0.92,96.35,2.34,1.02,23.52,88.07,17.53,1.98,18362,18297,22636,4326,21070,11575,14954,3.51,11.01,3.13,23.96,5.81,0.32,21.14,0.45,22.9,68.76,1260.7,94.97,3498.22
2.47,0.13,98.56,0.56,1.18,23.99,76.12,33.19,6.03,12216,12241,39923,14461,10497,5157,4390,7.18,23.96,4.22,24.75,9.65,1.68,8.72,1.1,23.5,84.95,2880.2,260.97,5366.7
2.53,17.03,82.03,0.28,0.81,27.7,56.46,43.23,20.54,8025,8504,5899,15445,669,0,5618,26.75,33.44,12.86,37.26,13.01,5.35,3.45,1.28,30.6,83.7,4859.5,456.87,1702.05
2.41,1,89.44,7.66,3.3,28.05,85.31,16.87,3.35,17107,17723,10977,15329,11975,8790,9661,6.45,8.52,3.79,29,13.57,1.62,26.08,2.76,24.5,60.14,3722.8,316.1,5085.73
2.33,22.25,76.07,1.3,0.63,21.56,58.89,43.82,9.96,12371,13544,5952,16291,45598,0,24086,21.38,28.37,8.32,25.96,13.02,3.54,6.03,1.63,28.6,85.47,1963.1,1199.16,8097.01
2.49,2.64,92.83,2.49,4.62,28.84,92.72,10.01,1.52,19847,19999,16507,20025,21132,14666,13360,3.56,7.02,3.53,26,13.03,1.12,23.46,2.09,21.6,66.22,4219.2,188.22,3403.37
2.4,0.43,98.9,0.37,0.38,23.09,66.74,37.62,4.93,12219,12284,7205,1727,12592,0,5103,11.43,30.4,5.94,22.02,12.3,0.64,14.94,1.72,23.9,84.48,1121.1,538.88,4674.92
2.27,52.58,45.08,1.74,0.79,27.57,80.66,24.45,5.61,14234,14417,14191,30000,13769,2944,17307,6.78,24.44,5.8,32.8,15.09,3.08,9.62,1.51,25,90.27,2580.4,336.7,3661.62
2.44,0.25,98.87,0.49,0.74,27.18,75.48,32.75,4.15,14783,14726,5274,25624,22247,5000,12574,5.2,23.02,4.41,24.88,12.82,1.67,3.23,1.29,22,86.44,3118.1,167.34,3772.72
2.89,3.37,69.91,0.9,62.11,30.01,71.67,26.44,13.05,8100,9555,6437,8271,171,4436,5338,30.32,39.63,12.12,29.18,12.48,2.35,8.09,9.64,26.2,79.72,2142.2,691.17,5340.87
3.81,1.05,42.04,1.37,86.08,35.61,78.92,19.17,15.17,7104,7949,8209,5401,8103,6427,6376,26.13,66.39,12.37,41.12,10.19,12.57,27.16,45.97,31.5,82.84,12958.1,867.12,2238.89
2.35,0.41,94.65,1.98,7.95,18.3,80.46,25.19,0.73,24462,24669,12941,16625,36559,10485,12650,3.33,7.59,2.69,23.77,12.8,0.32,5.26,1.36,20.2,86.99,3697.1,347.97,3693.79
2.55,6.05,92.03,1.52,0.58,28.5,73.83,26.66,10.25,11554,11712,8967,5756,12541,26000,16472,13.44,26.3,7.89,25.93,14.1,1.99,70.26,1.32,23.7,82.33,1918.9,259.88,3016.22
2.45,8.05,91.51,0.29,0.79,19.65,66.64,44.08,3.35,14227,14526,11204,22000,1931,12000,9163,3.72,33.85,5.01,26.5,6.85,0.72,0,1.03,21.3,85.04,2401.5,339.73,4416.49
2.7,6.27,69.77,10.09,23.9,28.98,81.27,21.6,9.27,14304,15614,12758,13154,12707,9164,9665,9.62,27.66,5.88,32.19,15.91,5.16,34.01,14.08,27.5,82.98,9811.9,1707.41,5258.05
4.58,0.53,38.18,1.29,87.53,36.99,85.24,13.89,15.54,6125,6998,5121,4385,4820,5636,5672,26.08,73.66,13.37,44.16,9.28,9.09,28.62,59.49,32.3,86.67,16265.4,1313.17,3831.63
2.46,0.79,93.76,2.78,2.41,35.4,75.72,25.42,6.3,13698,13902,6082,12067,12411,5894,8598,16.68,14.77,4.73,41.41,11.97,2.3,22.6,2.78,29.1,65.63,2287.7,339.31,17859.42
2.39,1.59,86.83,10.01,7.27,24.66,83.94,18.88,3.17,25827,25988,21090,19379,26531,17921,16524,4.71,8.47,3.41,32.37,11.46,1.26,17.23,3.26,27.6,78.09,5142.2,166.15,2713.82
2.67,15.67,81.81,1.16,1.94,28.01,74.76,29.69,15.04,11435,12440,7001,8568,8391,4897,4695,17.55,27.57,8.36,30.43,13.15,7.11,20.33,2.41,28.8,84.15,2121.7,343.81,5698.58
2.96,8.68,76.02,0.79,22.15,30.86,71.86,27.48,9.66,9359,10710,5398,7860,3366,4511,4774,25.98,37.61,8.72,29.54,12.03,1.58,28.29,7.09,26.5,73.81,1118.3,288.65,2970.99
2.84,2.34,95.43,0.77,2.35,28.87,87.05,15.45,3.95,11901,12020,9292,8494,10217,9678,9685,6.79,19.47,5.53,22.19,12.66,1.15,12.42,2.89,24.1,61.69,1445.1,201.24,3085.62
2.76,0.53,89.16,1.17,0.52,40.53,69.33,32.16,11.21,8483,9009,887,4425,3352,3000,1328,29.99,23.06,9.08,50.66,9.73,4.7,56.12,2.94,32.2,60.34,974.2,?,9988.79
2.49,3.91,90.9,3.35,3.99,25.94,86.57,17.18,1.48,20032,20343,17082,25788,16632,15178,15190,4.18,8.47,3.59,24.7,9.82,0.68,12.46,1.73,19.9,71.51,1662.5,149.6,2248.71
2.4,0.19,97.51,0.75,2.37,27.04,77.55,24.17,5.1,13110,13201,1589,10954,9620,12017,7723,13.15,14.69,4.24,29.85,15.17,1.86,10.83,2.96,26.7,66.11,1470.9,500.47,9463.84
2.65,5.32,84.02,7.95,7.4,22.31,83.75,17.08,5.31,20663,21312,18319,14414,16181,19491,14889,5.43,9.59,4.19,24.76,13.3,1.83,17.17,2.66,27.8,63.73,1844.6,261.4,3700.16
2.6,4.35,94.87,0.21,0.62,24.28,71.2,33.32,6.99,11742,12033,5775,9723,19128,5624,6252,12.95,30,5.06,19.9,10.69,0.75,0,2.85,26.4,80.92,1120.4,460.14,4682.64
2.96,92.19,7.26,0.05,0.95,32.03,58.1,28.34,44.82,5622,9566,5328,3223,357,1500,4535,58,52.61,28.94,47.99,18.77,27.35,12.28,8.63,35.1,87.72,2813.4,?,12994.95
2.64,0.24,97.49,0.87,1.43,26.45,77.48,28.78,5.38,12073,12190,12000,8103,8328,7850,10621,9.23,23.53,3.63,21.21,12.21,0.84,19.08,3.35,25.4,72.06,741.8,116.97,3136.19
2.91,65.57,33.57,0.39,0.65,30.19,83.98,23.28,10.26,10729,14809,8770,9412,2713,0,23296,15.65,28.95,11.85,36.76,16.17,8.12,24.79,5.07,26.9,79.36,2435.4,851.23,5138.62
2.57,0.16,98.49,0.71,1.1,24.58,79.27,29.18,4.67,15487,15578,13892,4707,9595,18199,13039,3.72,16.57,5.12,28.98,9.87,0.43,6.38,1.3,24.8,87.55,6235.3,?,2173.78
2.39,0.13,99.05,0.48,0.52,23.46,66.77,36.24,8.32,12172,12191,6701,16577,8385,8925,8326,10.97,35.53,8.72,26.75,8.64,1.66,0.9,0.85,27.4,89.4,184.9,137.59,1642.45
2.66,58.37,41.41,0.07,0.23,25.8,66.27,39.28,12.96,8433,11798,6045,4754,7367,0,6250,29.7,42.18,10.58,31.98,14.46,10.7,5.75,5.06,28.1,93.94,835.5,2758.9,9695.12
2.61,1.95,92.19,1.53,2.38,27.79,80.19,24.67,3.93,12390,12680,11589,7142,11711,5619,5820,8.67,20.81,6.17,26.35,12.69,1.15,24.73,2.29,24.2,82.49,3714.8,154.31,4514.91
2.37,1.42,95.82,1.01,3.87,21.82,72.59,35.38,5.39,15289,15498,10868,11000,17018,5489,9443,6.09,25.24,4.06,26.41,9.26,1.5,9.55,0.9,27.2,76.31,4154.3,309.84,3644.04
2.64,1.37,96.8,0.96,2.15,23.98,84.53,21.25,2.86,17747,17805,17587,15049,14633,16222,14202,4.73,9.93,3.92,22.77,9.19,1.5,4.07,0.8,21,76.72,1278.9,454.84,?
2.58,0.86,97.63,1.02,1.15,25.9,77.43,28.02,6.8,18436,18551,14015,24024,12859,6216,12070,6.62,12.89,5.42,32.62,9.33,1.54,11.87,0.9,27.6,85.18,2388,87.26,3174.56
2.75,3.53,95.57,0.7,0.73,26.41,78.08,25.19,1.49,28698,29532,11719,39167,9144,20667,12680,5.26,4.76,2.61,31.38,7.05,0.85,23.76,0.74,24.4,79.33,5142.2,282.67,4202.93
2.6,0.3,98.49,0.84,0.48,29.68,76.44,29.48,8.9,12382,12421,10160,9595,6950,3350,10889,11.47,33.06,6.33,31.31,10.2,2.44,12.56,1.46,25.8,84.49,666.1,161.51,5594.17
3.87,5.03,92.79,0.94,1.56,67.67,76.39,23.3,12.29,7355,7622,3823,5694,5861,3542,3072,44.45,17.72,11.35,76.6,4.9,3.56,49.5,2.03,35.1,36.47,2044.6,?,4523.53
2.19,0.44,98.04,1.27,0.78,21.75,82.35,22.37,1.27,37061,37209,19799,0,28210,0,17552,2.3,4.2,3.02,29.11,11.05,0.25,17.8,0.29,21.8,79.7,4038.2,?,3254.28
2.55,0.11,96.67,0.44,0.66,26.81,82.14,23.02,4.75,13339,13521,6473,5258,19124,4237,6129,9.65,16.58,4.41,28.63,8.79,1.3,8.91,1.38,23.3,77.75,1953.7,83.27,4210.9
3.04,0.33,97.15,1.37,1.02,30.07,93.33,9.46,3.65,13841,13958,12848,8907,10006,8213,5470,5.23,12.71,4.52,27.24,10.35,1.71,16.32,2.46,27,75.49,1114,?,5662.74
2.89,4.03,91.16,4.04,1.64,58.57,84.61,16,4.65,10616,10722,7581,8351,12297,5582,6446,31.46,13.51,6.83,64.28,7.36,2.44,54.9,2.85,34.9,42.67,3871.8,815.98,3669.55
2.5,1.61,94.71,3.09,0.93,26.55,86.85,19.95,2.63,20032,20459,14558,21025,10484,11321,11868,3.7,8.76,3.28,30.48,9.4,1.27,17.65,1.41,25.8,82.23,2345.2,?,?
2.44,22.62,76.87,0.36,0.35,21.61,60.37,45.01,8.85,13149,14871,6185,30000,45390,0,8119,19.92,29.67,5.75,24.97,10.42,2.91,0,1.68,30.9,87.72,1461.5,324.52,2857.37
2.97,2.44,95.6,1.07,1.59,27.89,89.04,13.38,3.32,14793,14787,14485,13814,16919,13347,10698,4.68,9.91,3.77,22.75,10.1,0.65,11.48,1.32,23.6,79.32,2408.4,213.14,3415.12
2.84,38.27,60.06,0.92,1.45,31.45,73.98,27.79,14.67,8925,11677,4629,6983,11207,6329,4884,25.55,33.68,8.69,29.54,11.87,9.97,28.85,5.29,27.7,71.16,1910.7,2193.23,13301.81
2.51,34.84,64.8,0.14,0.41,24.13,59.22,40.26,17.64,8232,9799,5074,5243,38807,2581,8519,36.8,38.45,14.82,27.67,14.12,6.93,0,3.94,33.6,90.59,1456,1059.43,8049.04
2.44,0.15,99.3,0.4,0.39,23.43,74.16,35.23,6.66,12171,12250,380,45500,1414,0,0,10.72,17.27,3.73,21.51,10.69,0.73,12.68,1.1,22.7,81.51,1351.7,125.63,?
